case,fold,category,id1,id2,target,q_ce,q_llm,name1,name2
label0_models_say_match,fold_03,Спорт и отдых,807453900146,395137054865,0,0.977,0.993,"мастер к. бинокль 7х50, ""путешественник"", линзы рубин, с выемками на вставках","бинокль 7х50, ""путешественник"", линзы рубин, с выемками на вставках"
label0_models_say_match,fold_03,Дом и сад,652835126738,94489427301,0,0.987,0.983,"картридж сменный zein ps-10sl, полипропиленовая нить, 25 мкм","картридж сменный zein ps-10sl, полипропиленовая нить, 25 мкм"
label0_models_say_match,fold_02,Товары для животных,300647781686,592705628339,0,0.971,0.999,"корм влажный felix суп с говядиной для взрослых кошек, 48 г",влажный корм felix суп с говядиной для взрослых кошек 48 г
label0_models_say_match,fold_02,Спорт и отдых,412316920311,678604882686,0,0.971,0.999,"силиконовая приманка minoga action 4"" (6шт) 100мм, цвет 623","силиконовая приманка minoga action 4"" (6шт) 100мм, цвет 623"
label0_models_say_match,fold_04,Бытовая техника,584115629924,369367197616,0,0.979,0.99,scarlett утюг sc-si30k51,scarlett / утюг scarlett sc-si30k51 фиолетовый
label0_models_say_match,fold_04,Дом и сад,137439072670,463856534733,0,0.998,0.971,"органайзеры-пентаур / короб стеллажный для хранения с крышкой ""страны"", 38х25х25см","короб стеллажный для хранения с крышкой ""страны"", 38х25х25 см"
label0_models_say_match,fold_02,Музыкальные инструменты,635655230054,592705506500,0,0.979,0.99,"m221l синтезатор, 61 клавиша, medeli / m221l синтезатор, 61 клавиша, medeli",medeli m221l
label0_models_say_match,fold_03,Автотовары,824633777735,103079304107,0,0.984,0.984,felix / антифриз felix carbox x freeze красный 1 л 430206073,"x-freeze антифриз, 1 л"
label0_models_say_match,fold_03,Детские товары,292057794763,94489326455,0,0.998,0.969,"сималенд / конструктор мой мир, 83 детали","конструктор мой мир, 83 детали"
label0_models_say_match,fold_02,Дом и сад,652835158490,274878036808,0,0.997,0.969,"in mother's hands / матрёшка ""марина"", сине-белое платье, 3",матрешка 
label0_models_say_match,fold_01,Бытовая химия,506806259140,549755925688,0,0.967,0.999,"блок для очищения унитаза domestos power 5 trio «ледяная магнолия», 3 шт. по 55 г","блок для унитаза domestos power 5 trio ледяная магнолия, защита от микробов и налета, 55 г 3 шт."
label0_models_say_match,fold_01,Бытовая техника,532575981210,403726979978,0,0.968,0.997,"плитка электрическая настольная одноконфорочная белая, спираль, 220*67*225 мм, 230 в, 1 квт, шнур 0,8 м.","tdm electric плитка электрическая настольная одноконфорочная белая, спираль, 220*67*225 мм, 230 в, 1 квт, шнур 0,8 м."
label0_models_say_match,fold_01,Строительство и ремонт,652835173672,790274074241,0,0.991,0.974,"huter / мойка высокого давления, автомойка, минимойка huter m135-hp",мойка высокого давления huter m135-hp
label0_models_say_match,fold_03,Музыкальные инструменты,68719526984,395137043191,0,0.986,0.978,кейс для гитары gator gc-lps,"кейс gator gc-lps,пластиковый, для гитар типа лес пол, делюкс, черный, вес 3,81 кг"
label0_models_say_match,fold_02,Бытовая химия,188978612586,377957129757,0,0.978,0.986,"чистящее средство 750 мл, dosia (дося) ""лимон"", для сантехники, дезинфицирующий и отбеливающий эффект, гель","чистящее средство 750 мл, dosia (дося) ""лимон"", для сантехники, дезинфицирующий и отбеливающий эффект, гель"
label0_models_say_match,fold_02,Красота и гигиена,515396103415,274877998978,0,0.97,0.994,"queen fair зеркало настольное, двустороннее, с увеличением, зеркальная поверхность 14,2 х 17,6 см, цвет бежевый/белый","зеркало настольное, двустороннее, с увеличением, зеркальная поверхность 14,2 х 17,6 см, цвет бежевый/белый"
label0_models_say_match,fold_02,Строительство и ремонт,455266687495,455266687493,0,0.981,0.983,набор губцевого инструмента jcb 3 предмета jpl016,jcb набор губцевого инструмента 3 предм. jpl016
label0_models_say_match,fold_01,Строительство и ремонт,816043862420,438086739735,0,0.965,0.998,выключатель дифференциального тока (узо) 4п 32а 30ма тип ac 6ка узо-03 dekraft 14234dek,dekraft узо 4p 32а 30ма ac
label0_models_say_match,fold_02,Бытовая техника,51539655599,292057914384,0,0.98,0.983,philips / утюг philips dst3020/30,утюг philips dst3020/30
label0_models_say_match,fold_02,Музыкальные инструменты,103079289704,309237711909,0,0.99,0.973,струны для домры альт мозеръ da1,струны мозеръ для домры альт da1
label0_models_say_match,fold_02,Товары для животных,156183,515396197646,0,0.964,0.999,"triol / удочка-дразнилка монстрик, 60/500 мм","удочка-дразнилка для кошек ""монстрик"", 60/500мм, triol"
label0_models_say_match,fold_03,Канцелярские товары,446676655272,730144527569,0,0.988,0.975,"пенал-футляр стамм, 204 х 83 х 25 мм, пластиковый, красный металлик","стамм пенал-футляр стамм, 204 х 83 х 25 мм, пластиковый, красный металлик"
label0_models_say_match,fold_03,Хобби и творчество,764504267977,257698145490,0,0.991,0.972,"доляна молд «лепесток яблони», 2 части, 5,1×3,8 см, цвет микс","молд ""лепесток яблони"", 2 части, 5,1x3,8 см / 2581352"
label0_models_say_match,fold_02,Канцелярские товары,695784775205,352187367186,0,0.995,0.968,attache / стикеры с клеев.краем 76х76 розовый 100л,стикеры attache с клеев.краем 76х76 розовый 100л
label0_models_say_match,fold_03,Детские товары,730144539112,68719479974,0,0.965,0.997,"автоград джип радиоуправляемый «бигфут», 1:20, работает от аккумулятора, цвет чёрно-красный","джип радиоуправляемый бигфут, 1:20, работает от аккумулятора, цвет чёрно-красный"
label0_models_say_match,fold_02,Бытовая химия,515396182086,489626365895,0,0.982,0.981,"кондиционер для белья chirton ""цветущая скандинавия"", 2 л./в упаковке шт: 1","chirton кондиционер-ополаскиватель для белья цветущая скандинавия, 2000 мл"
label0_models_say_match,fold_01,Дом и сад,197568533834,154618947275,0,0.975,0.987,"тарелка круглая тропики, 20 см","дорого внимание тарелка «тропики», 20 см"
label0_models_say_match,fold_02,Хобби и творчество,824633815332,369367287539,0,0.98,0.981,"не определен проволока с ворсом для поделок и декора набор 50 шт, размер 1 шт. 30 × 0,6 см, цвет зелёный неон","проволока с ворсом для поделок и декора набор 50 штук, размер 1 шт. 30 х 0,6см, цвет зелёный неон"
label0_models_say_match,fold_01,Хобби и творчество,627065282387,833223694821,0,0.997,0.964,"нарды в мешочке с полем президент, 13 х 20 см","нарды в мешочке с полем ""президент"", 13 х 20 см"
label0_models_say_match,fold_01,Дом и сад,712964706519,498216343486,0,0.993,0.968,"шкатулка - купюрница ""розы"", белая, 8,5х17 см, лаковая миниатюра","без бренда шкатулка - купюрница «розы», белая, 8,5×17 см, лаковая миниатюра"
label0_models_say_match,fold_04,Музыкальные инструменты,549755904744,137439074162,0,0.983,0.978,"mz-chg-12-3skull2/b чехол для классической гитары, mezzo",чехол для классической гитары mezzo mz-chg-12-3skull2/b
label0_models_say_match,fold_04,Детские товары,163208775776,635655302311,0,0.972,0.986,полесье / набор для песка №182 - 7 предметов,набор для песка полесье №182 - 7 предметов
label0_models_say_match,fold_04,Бытовая химия,120259193398,773094122004,0,0.978,0.98,fairy / средство для мытья посуды зеленое яблоко 900 мл,"fairy средство для мытья посуды, зеленое яблоко, 900мл"
label0_models_say_match,fold_01,Хобби и творчество,472446464816,180388739554,0,0.959,0.999,"добрый мастер деревянные заготовки / декупаж, деревянная заготовка для творчества ""добрый мастер"" ""ангелочек""фанера 6,5*7,2см (5шт)","""добрый мастер"" деревянная заготовка для декупажа №11059 ""ангелочек"" 6,5*7,2см (5шт), дерево"
label0_models_say_match,fold_04,Спорт и отдых,214748474036,188978633215,0,0.992,0.966,игольчатый подшипник tohatsu 369-00043-0,kacawa игольчатый подшипник tohatsu 369-00043-0
label0_models_say_match,fold_04,Музыкальные инструменты,51539617020,128849062346,0,0.972,0.985,мостик для скрипки 3/4-4/4 wolf forte-secondo sr23,wolf forte-secondo sr23 - мостик для скрипки
label0_models_say_match,fold_04,Продукты питания,180388677648,309237685263,0,0.98,0.977,кофе в зернах today blend №8 200г 1шт,"today / кофе в зёрнах blend 8, today, 200 г, нидерланды"
label0_models_say_match,fold_04,Канцелярские товары,601295565131,773094235682,0,0.96,0.998,perfeo фотобумага а4 108 г/м2 матовая 500л,perfeo / фотобумага а4 108 г/м2 матовая 500л
label0_models_say_match,fold_04,Бытовая техника,489626356312,17179925664,0,0.993,0.964,"russell hobbs погружной блендер 24690-56 красный, красный",блендер russell hobbs 24690-56 красный
label0_models_say_match,fold_04,Бытовая техника,231928301112,670015062168,0,0.963,0.993,вакуумный упаковщик bbk bvs801,вакуумный упаковщик bbk bvs801 белый
label0_models_say_match,fold_04,Товары для животных,326417614943,206158465876,0,0.972,0.984,"сухой корм дарлинг для взрослых кошек, с мясом и овощами, 1,75 кг",darling корм сухой дарлинг для взрослых кошек с мясом и добавлением овощей 1.75кг
label0_models_say_match,fold_01,Хобби и творчество,300647774358,816043796900,0,0.968,0.988,игра настольная 'словодел',"десятое королевство настольная игра ""словодел"""
label0_models_say_match,fold_02,Спорт и отдых,575525683612,738734485346,0,0.976,0.98,песочный фильтр-насос bestway 58515 мощность 3028л/час,"фильтр-насос для бассейнов песочный 220-240v, 3028 л/ч, 58515"
label0_models_say_match,fold_01,Продукты питания,506806145923,455266537045,0,0.958,0.998,"миндаль в карамели metro chef, 150 г","metro chef миндаль в карамели, 150г"
label0_models_say_match,fold_03,Канцелярские товары,472446503930,34359833840,0,0.985,0.97,лупа ручная круглая 10x-70мм с подсветкой (10 led) kromatech th-7015,"kromatech / лупа th-7015 ручная круглая 10х, 70 мм, с подсветкой"
label0_models_say_match,fold_04,Хобби и творчество,670015054570,584115714184,0,0.977,0.977,сборная модель корабля звезда крейсер варяг,"звезда (zvezda) / модель сборная/крейсер ""варяг""/военная техника"
label0_models_say_match,fold_03,Детские товары,730144474017,472446439614,0,0.977,0.977,азбукварик / мультиплеер музыкальный хит-парад с огоньками,музыкальная игрушка азбукварик мультиплеер с огоньками музыкальный хит-парад
label0_models_say_match,fold_02,Бытовая химия,687194809602,85899504374,0,0.961,0.993,"отбеливатель бос плюс maximum, 600 г","бос / отбеливатель ""плюс maximum"" порошок 600г"
label0_models_say_match,fold_04,Товары для животных,231928322150,103079291537,0,0.956,0.998,"влажный корм для кошек pro plan delicate при чувствительном пищеварении с ягненком, 85 г х 26 шт","pro plan / влажный корм для кошек delicate, с ягненком 26х85 г"
label0_models_say_match,fold_02,Автотовары,283467860249,523986011101,0,0.979,0.975,parkmaster / парктроник (парковочный радар) parkmaster 34u-4-a (black),парктроник (парковочный радар) parkmaster 34u-4-a (black) для переднего или заднего бампера
label0_models_say_match,fold_04,Бытовая техника,816043816980,678604980647,0,0.954,0.999,увлажнитель воздуха stadler form oskar o-021,традиционный увлажнитель stadler form oskar black o-021
label0_models_say_match,fold_01,Бытовая химия,326417611172,541165959649,0,0.99,0.963,крем чистящий для кухни rocket soap белизна и свежесть 400 мл - 1 шт,rocket soap / крем чистящий для кухни белизна и свежесть 400 мл
label0_models_say_match,fold_04,Бытовая химия,670014904676,60129707281,0,0.983,0.97,"sanfor / чистящее средство 750 г, sanfor wc gel (санфор гель)","чистящее средство 750 г, sanfor wc gel (санфор гель) ""special black"", 1896  "
label0_models_say_match,fold_04,Дом и сад,292057836907,257698130946,0,0.963,0.99,"пакет ламинированный вертикальный, 31 х 40 х 11 см""с новым годом!"", холодное сердце","disney пакет ламинированный вертикальный, 31 х 40 х 11 см ""с новым годом!"", холодное сердце"
label0_models_say_match,fold_01,Бытовая техника,609885512537,343597415671,0,0.96,0.993,масляный радиатор ресанта ом-7нв,ресанта / масляный радиатор ресанта ом-7нв
label0_models_say_match,fold_03,Бытовая техника,395137149371,712964592651,0,0.958,0.994,газовая варочная поверхность beko hiag64225sb,газовая варочная поверхность beko hiag64225sb
label0_models_say_match,fold_04,Бытовая химия,489626341840,515396160183,0,0.988,0.964,grass / средство для мытья посуды velly premium лайм и мята 500мл,средство для мытья посуды grass velly premium лайм и мята 500мл
label0_models_say_match,fold_02,Бытовая химия,747324393844,42949697891,0,0.983,0.969,стиральный порошок ariel авт горный родник 20 стирок 3 кг.,"стиральный порошок ariel горный родник автомат, 3 кг"
label0_models_say_match,fold_01,Красота и гигиена,601295459249,360777306273,0,0.957,0.995,гель для умывания для всех типов кожи салициловый salizink/салицинк фл. 200мл,salizink / салициловый гель для умывания салицинк 200мл
label0_models_say_match,fold_04,Красота и гигиена,558345861960,670015062461,0,0.96,0.991,"сменные кассеты gillette fusion power 8 шт. для мужской бритвы, с 5 лезвиями, кассеты gillette. джилет фьюжн повер.",gillette / кассеты для бритья сменные лезвия мужские fusion 5 power 8шт
label0_models_say_match,fold_02,Хобби и творчество,146028928335,403727003607,0,0.994,0.957,"лесная мастерская конструктор деревянный «робот», 29 деталей","конструктор деревянный ""робот"", 29 деталей"
label0_models_say_match,fold_02,Бытовая техника,128849111914,51539704985,0,0.974,0.976,"il monte / варочная панель газовая, 30 см., стекло, bh-312g-nsd","варочная панель газовая, закаленное стекло, 30 см., автоподжиг, чугунные решетки, il monte bh-312g-nsd"
label0_models_say_match,fold_04,Бытовая техника,257698116302,85899501538,0,0.977,0.974,"korting стиральная машина kwm 42ls1267, белый",стиральная машина korting kwm 42ls1267
label0_models_say_match,fold_01,Музыкальные инструменты,25769839023,60129621469,0,0.992,0.958,la bella rx-n6c струны для бас-гитары,струны для бас-гитары la bella rx-n6c
label0_models_say_match,fold_02,Бытовая техника,274878031674,386547201486,0,0.967,0.983,"akel / мини-печь akel af-730, 1300 вт, 36 л, черная","akel мини-печь 4680009640542, черный"
label0_models_say_match,fold_02,Электроника,755914336064,146029001367,0,0.965,0.985,"benq 23.8"" монитор bl2485tc , черный",benq bl2485tc
label0_models_say_match,fold_04,Строительство и ремонт,335007599154,17179941450,0,0.986,0.964,"съёмник внутренних стопорных колец airline прямой сжим 7"" 180 мм at-icp7-02","съёмник внутренних стопорных колец ""прямой сжим"" 180мм airline at-icp7-02"
label0_models_say_match,fold_01,Товары для животных,300647858911,798863927116,0,0.98,0.97,"ошейник для животных двухслойный, с фастексом квадраты, 30 х 1 см, голубой, 1 шт.","ошейник / ошейник двухслойный с фастексом квадраты, 30 х 1 см, голубой"
label0_models_say_match,fold_01,Детские товары,506806161536,532575963227,0,0.991,0.959,"мягкая книжка-шуршалка развивающая по методике г. домана ""малыши"", 11х11 см","крошка я мягкая книжка-шуршалка развивающая по методике г. домана «малыши», 11х11 см"
label0_models_say_match,fold_01,Бытовая химия,94489433534,730144560490,0,0.959,0.989,аистенок. / мыло хозяйственное детское 200гр,"мыло хозяйственное аистенок 200 г, для детского белья"
label0_models_say_match,fold_02,Аптека,773094185478,584115646980,0,0.968,0.98,little doctor термометр электронный ld-300,термометр электр little doctor ld-300
label0_models_say_match,fold_03,Музыкальные инструменты,816043872075,343597405654,0,0.976,0.971,dunlop / 518rjprd primetone® john petrucci signature набор медиаторов,медиатор dunlop 518rjprd primetone john petrucci signature
label0_models_say_match,fold_04,Автотовары,841813614203,163208765625,0,0.953,0.995,шина 255/55r18 toyo proxes sport suv 109y,toyo proxes sport suv шины летние 255/55  r18 109y
label0_models_say_match,fold_04,Красота и гигиена,566935805387,309237811697,0,0.955,0.992,"тоник для лица сто рецептов красоты освежающий, увлажнение и свежесть, 250 мл (67972740)","тоник для лица сто рецептов красоты освежающий ""увлажнение и свежесть"", 250 мл"
label0_models_say_match,fold_02,Детские товары,274877965511,94489375517,0,0.964,0.984,мягкая игрушка budi basa ks22-193 кот басик с сердцем из фетра 22 см,"budi basa / мягкая игрушка кот басик с сердцем из фетра, 22 см"
label0_models_say_match,fold_01,Автотовары,120259182658,352187473210,0,0.957,0.99,автомобильные летние шины continental contiecocontact 6 215/60 r17 96h,continental contiecocontact 6 шины летние 215/60  r17 96h
label0_models_say_match,fold_04,Музыкальные инструменты,429496794406,652835107868,0,0.991,0.956,"мозеръ струны акустической гитары, сталь фрг + бронза 80/20 (.011-052)",мозеръ / струны мозеръ акустической гитары (.011-052)
label0_models_say_match,fold_03,Товары для животных,386547082355,137439042521,0,0.949,0.998,"не определен туалет глубокий с сеткой 36 х 25 х 9 см, жёлтый/ярко-зелёный","туалет глубокий с сеткой, ярко-зелёный/жёлтый, 36х25х9 см"
label0_models_say_match,fold_01,Бытовая техника,764504237000,17179883822,0,0.949,0.998,"galaxy индукционная настольная плита gl3064, черный",galaxy / плитка электрическая одноконфорочная индукционная gl3064
label0_models_say_match,fold_02,Красота и гигиена,661424982490,687194852582,0,0.951,0.995,fusion 5 / сменные кассеты gillette fusion 5 8 шт,сменные кассеты gillette fusion5 8 шт.
label0_models_say_match,fold_01,Музыкальные инструменты,68719509033,841813597498,0,0.995,0.951,гитарный комплект terris tc-038 bk starter pack,"terris классическая гитара tc-038 bk starter pack 6-струнная, корпус липа 7/8"
label0_models_say_match,fold_01,Хобби и творчество,584115642337,283467943622,0,0.98,0.966,puzzle time творческий набор пазлов «встречаем новый год»,"творческий набор пазлов ""встречаем новый год"""
label0_models_say_match,fold_03,Продукты питания,850403569857,163208803206,0,0.958,0.987,печенье сахарное falcone кантуччи с миндалем 200г италия,falcone / печенье cantucci кантуччи с миндалем 200 г
label0_models_say_match,fold_03,Товары для животных,68719618905,592705522375,0,0.974,0.972,"сухой корм для собак средних и крупных пород pro plan duo delice, с говядиной, 10 кг","pro plan / сухой корм duo delicе средних и крупных собак,говядина 10 кг"
label0_models_say_match,fold_03,Продукты питания,171798771536,111669197956,0,0.995,0.951,жокей карамель кофейный напиток 3в1 10 стиков (комплект 8 шт.) 6013010,жокей карамель кофейный напиток 3в1 10 стиков (комплект 8 шт.) 6013010
label0_models_say_match,fold_03,Товары для животных,420906930581,171798765593,0,0.984,0.961,neo loo life kocho наполнитель комкующийся для туалета кошек на основе дробленой древесины хвойных деревьев (12 + 12 л),наполнитель для кошачьего туалета neo loo life kocho наполнитель комкующийся для туалета кошек на основе дробленой древесины хвойных деревьев (12 + 12 л)
label0_models_say_match,fold_01,Хобби и творчество,498216356881,833223685491,0,0.982,0.963,"набор химические опыты 2 в 1 ""волшебный лизун и жвачка для рук""",без бренда набор химические опыты 2 в 1 волшебный лизун и жвачка для рук оп-084
label0_models_say_match,fold_04,Детские товары,695784719997,704374672903,0,0.956,0.989,"кукла-модель для девочки ""топ-модель лили"" шарнирная / 3043596",happy valley кукла-модель «топ-модель лили» шарнирная
label0_models_say_match,fold_01,Автотовары,721554517710,17179969486,0,1.0,0.945,наконечник рулевой ctr cem28,ctr / наконечник рулевой l-r ctr cem-28
label0_models_say_match,fold_03,Дом и сад,541166006797,798864026010,0,0.951,0.994,"без бренда покрывало детское тачки 1,5 сп, 145х210 см, микрофибра","покрывало детское 1,5 сп, тачки, 145х210 см, микрофибра"
label0_models_say_match,fold_03,Спорт и отдых,609885520822,618475403462,0,0.948,0.997,замок для велосипеда тросовый с ключом противоугонный 180см abus 3506k/180 черный,замок abus 3506k/180 black
label0_models_say_match,fold_03,Красота и гигиена,412316865921,161485,0,0.947,0.998,"some by mi / ^крем для лица beta-panthenol repair cream, 50 мл",some by mi beta panthenol repair cream восстанавливающий и успокаивающий крем для лица с пантенолом 50мл
