fold,category,id1,id2,target,q_ce,q_llm,name1,name2
fold_01,Обувь,8590024627,85899483721,1,0.224,0.584,brutale / кроссовки мужские джорданым,кроссовки nike jordan
fold_01,Продукты питания,8590025368,498216247337,0,0.949,0.977,кофе ambassador platinum растворимый 95г,кофе растворимый аmbassador platinum 95 грамм в стеклянной банке / амбассадор
fold_01,Продукты питания,8590027382,369367307897,0,0.931,0.818,кофе в капсулах nespresso genova livanto 10 капсул,"кофе в капсулах nespresso ispirazione genova livanto, 10 шт."
fold_01,Продукты питания,8590045465,360777417674,0,0.93,0.984,"lofbergs / кофе в зёрнах 1кг / medium roast кофе лофбергс медиум/ ароматный кофе, вкусный кофе, в зернах","кофе в зернах lofbergs medium roast,1кг"
fold_01,Красота и гигиена,8590049489,8590075963,1,0.349,0.691,актив-бальзам витамин e идеальные губы 12 мл,либридерм / витамин е актив-бальзам идеальные губы 12мл/2уп
fold_01,Красота и гигиена,8590053594,171798781559,1,0.229,0.569,"syoss / syoss бальзам color, для окрашенных и мелированных волос, легкое расчесывание, 450 мл","syoss color бальзам , для окрашенных и мелированных волос, легкое расчесывание, 450 мл 4 шт"
fold_01,Бытовая химия,8590078837,171798782250,1,0.19,0.569,"чистолюб гель для кухни антижир, 500 г",чистолюб / чистолюб антижир гель для кухни 500г/10шт
fold_01,Продукты питания,17179873294,627065311359,0,0.982,0.959,"компот фрутоняня из яблок, изюма и кураги, c 6 месяцев, 0.2 л, 18 уп.","компот фрутоняня из яблок, кураги и изюма с 6 месяцев 0,2 л 18 шт"
fold_01,Продукты питания,17179874371,532576037826,0,0.968,0.961,"жокей / кофе жокей молотый классический,250г","кофе молотый жокей классический, 250 г"
fold_01,Бытовая химия,17179909900,163208802823,0,0.927,0.795,"не определен кондиционер для белья "" лаванда и хлопок"", выгодная стирка- 1 л",кондиционер для белья выгодная стирка 1л лаванда и хлопок 1 шт.
fold_01,Музыкальные инструменты,17179930675,661424971567,1,0.153,0.215,dr bka-13 - струны для акустической гитары,dr / bke-10/52 black beauties струны для электрогитары
fold_01,Ювелирные изделия,17179963948,77309444651,1,0.077,0.246,trade_jewelry / кольцо из серебра 925 (покрытие золото 585),trade jewelry кольцо серебро 925 пробы
fold_01,Бытовая химия,17179970329,807453864495,0,0.946,0.813,"средство для выгребных ям и септиков ""доктор робик"" 109, 75 грамм, 2 штуки",биоактиватор доктор робик для септиков и выгребных ям 75г / 2 шт
fold_01,Продукты питания,17179975414,111669243338,1,0.266,0.68,"greenfield / чай spring melody, 9шт х 150г (100 пакетиков)","чай greenfield ""spring melody"", черный, с ароматом мяты, чабреца, 100 фольг. пакетиков по 1,5г"
fold_01,Музыкальные инструменты,17179982736,197568637248,1,0.222,0.173,скрипка студенческая strunal 29wa-3/4,hans klein va-20 - альт струнный 16
fold_01,Музыкальные инструменты,17180018813,352187342411,1,0.275,0.403,d'addario rgc10asx300,rico rgc10ssx350 - трости для саксофона сопрано - 3.5 (10шт)
fold_01,Музыкальные инструменты,17180019608,188978589634,1,0.272,0.442,"ac107-n комплект струн для классической гитары, нейлон, посеребренные, alice","ac107bk-h комплект струн для классической гитары, черный нейлон, alice"
fold_01,Музыкальные инструменты,25769839023,60129621469,0,0.992,0.958,la bella rx-n6c струны для бас-гитары,струны для бас-гитары la bella rx-n6c
fold_01,Продукты питания,25769879707,352187357443,1,0.351,0.27,"кофе молотый 250 г cupsburg бразилия моджиана свежеобжаренный кофе молотый арабика 100%, капсбург","cupsburg coffee кофе в зернах 250 г cupsburg бразилия суль-де-минас, свежеобжаренный кофе в зернах арабика 100%, капсбург"
fold_01,Мебель,25769885792,292057779750,1,0.304,0.611,"stylint шкаф кровать трансформер с креплением к стене, stylint, бонн элегант (угол справа), 90х200, венге магия","шкаф кровать трансформер с креплением к стене, stylint, бонн элегант (угол справа), 90х200, белый"
fold_01,Детские товары,25769894607,652835039106,0,0.926,0.897,"весна-киров / кукла милана праздничная 1 со звуковым устройством, 70 см","кукла ""милана праздничная"" со звуковым устройством, 70 см"
fold_01,Обувь,25769897662,833223779797,1,0.255,0.224,туфли basvello,rintomani / туфли
fold_01,Музыкальные инструменты,25769930343,618475409376,0,0.928,0.791,струны для акустической гитары alice a206-sl,alice / струны для акустической гитары alice a206-sl (11-52)
fold_01,Мебель,25769932564,601295572062,1,0.388,0.565,"merdes компьютерный стол, 96х160х216 см",мэрдэс стол компьютерный домино ср-720/140
fold_01,Обувь,25769934119,841813750267,1,0.242,0.295,полуботинки enrico fantory,enrico fantory / полуботинки
fold_01,Детские товары,34359755276,798863999334,0,0.954,0.756,"конструктор qs08 майнкрафт / minecraft my world совместим с конструкторами (650 деталей, светодиодная подсветка) 44090",игрушки детские / конструктор minecraft веселая вечеринка
fold_01,Детские товары,34359755724,326417572836,0,0.978,0.898,"мягкая игрушка ""зайка в сарафане"", 16 см","ukiyo star / мягкая игрушка ""зайка в сарафане"". 16 см"
fold_01,Детские товары,34359776967,695784762042,0,0.952,0.865,"retailoriginal store / электронная головоломка «авокадо», 13 игр","funny toys электронная головоломка ""авокадо"", 13 игр"
fold_01,Музыкальные инструменты,34359790556,309237778303,1,0.396,0.484,"graftonite мундштук для саксофона альт, b3, rico rrgmpcasxb3",rico rrgmpcasxa7 мундштук для саксофона
fold_01,Товары для животных,34359798516,231928302228,1,0.334,0.278,"canin сухой корм rc mini adult для мелких собак, 800 г","royal canin mini adult корм сухой для взрослых собак мелких размеров от 10 месяцев, 2 кг"
fold_01,Ювелирные изделия,34359800792,343597511630,1,0.3,0.694,"sokolov, кольцо из золота с фианитами, 018953, украшение из красного золота 585 пробы",sokolov / ювелирное кольцо женское из золота 585
fold_01,Одежда,34359814679,180388716046,1,0.318,0.172,купальник слитный atlantic beach,"atlantic beach купальник atlantic beach, размер 40, фиолетовый"
fold_01,Бытовая химия,34359828280,292057883325,0,0.955,0.951,"средство для мытья пола mr.white ""лимон-апельсин"", концентрат, 5 л",mr. white средство для мытья пола mr.white optima концентрат лимон-апельсин 5л
fold_01,Музыкальные инструменты,34359837026,103079369420,1,0.348,0.588,"стойка для клавишных (синтезатора) soundking df029, c плавной регулировкой высоты",tempo / ks110 стойка клавишная
fold_01,Бытовая химия,34359847717,34359874808,0,0.946,0.941,"grass / средство для пола arena с полирующим эффектом, 1 л","средство с полирующим эффектом для пола ""arena"" 1 л"
fold_01,Детские товары,42949700022,833223806586,0,0.934,0.748,"лесная мастерская / набор мебели для кукол ""гостиная""",набор мебели для кукол детская
fold_01,Музыкальные инструменты,42949739717,360777329411,1,0.378,0.492,пластик для барабана remo sn-0016-00 batter silentstroke 16,remo ba-0116-00- ambassador 16' coated однослойный матовый пластик
fold_01,Дом и сад,42949747717,687194906663,0,0.934,0.904,маска зебра албезия 50 см,"маска ""зебра"" албезия 50 см"
fold_01,Бытовая техника,42949754636,188978679653,0,0.942,0.938,кофемашина автоматическая melitta caffeo varianza csp f570-102,кофемашина melitta caffeo f 570-102 varianza csp 1450вт черный
fold_01,Музыкальные инструменты,42949761538,25769919216,1,0.36,0.328,струны для электрогитары dr string nmce-11,dr nmca-11 hi-def neon струны для акустической гитары с люминесцентным покрытием разноцветные 11
fold_01,Одежда,42949772600,438086708693,1,0.316,0.495,комплект одежды little world of alena,little world of alena / костюм для малыша/ летний/ трикотажный/ костюм для мальчика
fold_01,Красота и гигиена,42949799549,463856484361,1,0.291,0.013,"leo's / шампунь elseve для жирных волос, 400 мл","l'oreal paris бальзам для волос, 200 мл"
fold_01,Строительство и ремонт,42949801688,85899346721,0,0.944,0.903,эпоксидная затирка diamant 009 хамелеон 1 кг,затирка diamant 009 хамелеон 1 кг
fold_01,Ювелирные изделия,51539641057,335007451113,1,0.388,0.448,"sokolov, крест из комбинированного золота с гравировкой, 121222, православные, 585 проба","gold center крестик gold center, красное золото, 585 проба"
fold_01,Дом и сад,51539657078,489626308217,0,0.938,0.929,"сахарница риштанская керамика ""узоры"", 500 мл, синяя / 9408724","шафран сахарница риштанская керамика ""узоры"", 500 мл, синяя"
fold_01,Продукты питания,51539664082,386547072218,1,0.332,0.356,"чай травяной спокойствие-баланс, herbarus, 35 г, москва - 1 шт.",herbarus / чай травяной спокойствие баланс 24пак.
fold_01,Одежда,51539664890,223338314634,1,0.349,0.435,la maurelle / комплект нижнего белья с юбкой,комплект белья hypnose
fold_01,Бытовая химия,51539691195,446676724866,0,0.93,0.994,aqualeon медленный стабилизированный хлор aqualeon комплексный таб. 200 гр,"медленный стабилизированный хлор aqualeon aqualeon, комплексный, 200 г, 1 шт"
fold_01,Музыкальные инструменты,60129550302,51539699429,1,0.123,0.23,"ortega r121g-3/4 family series классическая гитара 3/4, глянцевая, с чехлом",классическая гитара cort ac100 op
fold_01,Канцелярские товары,60129569096,292057847598,0,0.921,0.848,fractal paint трансфер для декупажа переводной рисунок для поверхностей 005 (а4),"декупажная карта fractal paint a4 (21 × 29.7 см), листов: 1"
fold_01,Канцелярские товары,60129579350,395137010891,0,0.993,0.988,"папка для тетрадей officespace ""artspace"", sweet dreams, 1 отделение, а5, 240х190х40 мм, пластик, на молнии (птл-715_48917)","папка для тетрадей officespace ""artspace"", sweet dreams, 1 отделение, а5, 240х190х40 мм, пластик, на молнии (птл-715_48917)"
fold_01,Красота и гигиена,60129612738,292057910629,1,0.304,0.516,"белита / набор mens club: гель для душа, шампунь-кондиционер","белита шампунь-кондиционер для волос mens club, свежесть и укрепление, 300 мл, 2 шт"
fold_01,Детские товары,60129630962,695784792078,0,0.927,0.954,"не определен электронный конструктор световой тоннель, 8 элементов","электронный конструктор ""световой тоннель"", 8 элементов"
fold_01,Автотовары,60129647149,17179949249,0,0.965,0.955,landsail lsv88 195/80 r15 106s летняя,landsail lsv88 шины летние 195/80  r15 106s
fold_01,Хобби и творчество,60129672910,120259221085,0,0.932,0.937,"пластилин №1 school colorpics набор 12цв 240г, со стеком","пластилин №1 school colorpics, со стеком, набор 12 цветов, 240 г, 3 упаковки"
fold_01,Музыкальные инструменты,60129682733,386547071698,0,0.984,0.78,"pioneer ddj-200 двухканальный контроллер для rekordbox dj, wedj, djay, edjing mix",контроллер для dj pioneer ddj-200
fold_01,Одежда,60129708623,566935846920,1,0.265,0.222,"janira трусы janira, размер 54, черный",трусы janira
fold_01,Музыкальные инструменты,68719509033,841813597498,0,0.995,0.951,гитарный комплект terris tc-038 bk starter pack,"terris классическая гитара tc-038 bk starter pack 6-струнная, корпус липа 7/8"
fold_01,Бытовая химия,68719532440,85899455631,1,0.396,0.336,средство для мытья посуды fairy нежные руки ромашка и витамин е 450мл,жидкость для мытья посуды fairy нежные ручки ромашка и витамин e 900 мл
fold_01,Бытовая химия,68719537156,120259115844,0,0.992,0.933,brezo / brezo 97036 парфюмированная вода для утюгов 1л,"парфюмированная вода для утюгов, 1л brezo 97036"
fold_01,Детские товары,68719560844,489626285027,0,0.935,0.947,"кукла интерактивная алёна поёт, танцует, на пульте управления","happy valley / кукла интерактивная «алёна» поёт, танцует, на пульте управле"
fold_01,Бытовая химия,68719564833,163208888463,0,0.928,0.957,"биолан / средство для мытья посуды апельсин и лимон 450г, 20 шт",средство для мытья посуды биолан апельсин и лимон 450гр
fold_01,Детские товары,68719568367,8589986949,1,0.287,0.154,машинка металлическая uni-fortune rmz city 1:64 dodge challenger srt demon 2018 (цвет желтый),toptrade / коллекционная модель chevrolet camaro kinsmart 15 см
fold_01,Бытовая химия,68719590241,360777322123,1,0.157,0.249,"ласка / гель для стирки ласка для черного и темного, 3 л, 50 стирок","гель для стирки ласка эффект восстановления, для черного и темного, 1 л, 16 стирок 2 штуки"
fold_01,Электроника,68719604745,146028946394,1,0.391,0.372,"гайка т-образная м3 профиль 20, 20 шт. tridipro",аксессуар для принтеров bestfilament (00872)
fold_01,Ювелирные изделия,68719610514,816043822640,1,0.141,0.407,"серьги пусеты золотые женские 585 пробы ювелирные sokolov, сережки гвоздики с камнями фианитами",sokolov / серьги гвоздики золотые 585 пробы пусеты ювелирные
fold_01,Продукты питания,77309479443,652835080735,1,0.132,0.732,"kuhne горчица острая дижонская, 250 мл, 4 шт","kuhne горчица острая дижонская, 250 мл, 2 шт"
fold_01,Ювелирные изделия,77309481828,472446488085,1,0.308,0.815,"кольцо женское из красного золота 585 пробы с фианитами (арт. 01-10010-2530) (17,5)",gold center / кольцо женское из красного золота 585 пробы без вставок (арт
fold_01,Ювелирные изделия,77309517077,549755850897,1,0.165,0.24,"кольцо женское из красного золота с жемчугом, фианитом 585gold 201013167, р. 18",эстет кольцо 01к3111542-1
fold_01,Продукты питания,77309520217,42949794214,1,0.342,0.389,"жокей / кофе жокей по-восточному молотый, 450г","кофе молотый жокей по-восточному натуральный жареный, 250г"
fold_01,Хобби и творчество,77309525249,128849105911,0,0.936,0.858,"игрушка детская телескоп ""юный астроном"", 20х, 30х, 40х","без бренда телескоп детский ""юный астроном"", 20х, 30х, 40х"
fold_01,Музыкальные инструменты,77309526216,764504228793,0,0.969,0.903,маракас dekko m0 bl,маракасы dekko m0 bl
fold_01,Канцелярские товары,77309562079,807453998465,0,0.941,0.699,"delucci ручка шариковая, толщина линии: 0.7 мм, цвет: синий, 1 шт.","ручка шариковая delucci ""vestito"" синяя, 1,0мм, корпус черный лак/золото, поворотн, подарочная упаковка"
fold_01,Канцелярские товары,85899348473,77309495340,1,0.328,0.41,мастер-класс / краска масляная 46мл краплак красный прочный,"краска масляная 46мл, краплак розовый мастер-класс невская палитра ( в заказе 1 штука)"
fold_01,Музыкальные инструменты,85899397506,266287990099,1,0.191,0.103,гитара классическая 1/2 naranda cg220-1/2,классическая гитара pierre cesar mcg944wa
fold_01,Бытовая техника,85899486609,601295477933,0,0.95,0.922,морозильная камера liebherr fnf 5207,liebherr fnf 5207
fold_01,Обувь,85899491229,300647790658,1,0.238,0.296,сапоги aurorastar,сапоги aurorastar
fold_01,Дом и сад,85899493289,369367201708,0,0.949,0.953,"диффузор ароматический с цветком хлопка нежный, 50 мл, ваниль,","не определен диффузор ароматический с цветком хлопка ""нежный"", 50 мл, ваниль,"
fold_01,Продукты питания,85899494727,764504235077,1,0.354,0.386,"грецкий орех неочищенный, в скорлупе чили, 500г","не определен грецкий орех очищенный 500 грамм, чили"
fold_01,Канцелярские товары,94489283446,317827660904,0,0.939,0.923,"ручка-корректор erichkrause techno white ergo, 22105, 12 мл","erichkrause / ручка-корректор techno white ergo, 12мл"
fold_01,Строительство и ремонт,94489304041,790274112671,0,0.982,0.836,дрель ударная электрическая 3000 об/мин 750 вт вихрь,ударная дрель вихрь ду-850
fold_01,Продукты питания,94489304644,85899502191,1,0.217,0.593,пюре картофельное роллтон с жар.луком (стак) 40г -24шт,"роллтон / картофельное пюре с курицей, 40 г 24 штуки в упаковке"
fold_01,Ювелирные изделия,94489329228,438086725233,1,0.278,0.237,цепочка из серебра 65 см бронницкий ювелир 810400227,браслет серебро 925 пробы на руку женский
fold_01,Красота и гигиена,94489387232,592705494311,0,0.94,0.957,тушь для ресниц oriflame 5в1 the one wonder lash 8мл,"многофункциональная тушь для ресниц 5 в 1 the one wonder lash, 8мл"
fold_01,Ювелирные изделия,94489425017,412316931792,1,0.343,0.838,"sokolov, кольцо из золота с изумрудом, 3010588, украшение из красного золота 585 пробы","sokolov кольцо sokolov, красное золото, 585 проба, изумруд, размер 18.5"
fold_01,Бытовая химия,94489433534,730144560490,0,0.959,0.989,аистенок. / мыло хозяйственное детское 200гр,"мыло хозяйственное аистенок 200 г, для детского белья"
fold_01,Детские товары,94489438382,738734484102,0,0.945,0.732,"автоград грузовик металлический «урал «армия», инерция, масштаб 1:43, цвет зелёный","грузовик металлический ""урал ""армия"", инерция, масштаб 1:43, цвет зелёный"
fold_01,Продукты питания,103079216095,747324471747,1,0.34,0.827,"морские чипсы нори из морских водорослей 4,5гр х 3уп.","чипсы из морской капусты, 3 уп х 4,5 г"
fold_01,Автотовары,103079272821,223338393911,0,0.998,0.943,мовиль воск агат profi 1000 мл,агат мовиль с воском (аэрозоль) 1000мл profi
fold_01,Канцелярские товары,103079283134,120259214236,0,0.957,0.816,"календарь/календарь настольный дерево ""котенок иман"" 20х17х5 см","сималенд / календарь настольный дерево ""котёнок иман"" 20х17х5 см"
fold_01,Строительство и ремонт,103079294574,369367279276,1,0.246,0.479,приставка доп. контакты ax-3m/40 к контактору nxc-06m 12m код.925184 chint (5шт.в упак.),приставка доп. контакты ax-3m/11 к контактору nxc-06m~12m chint 925190
fold_01,Спорт и отдых,103079312550,687194769829,1,0.256,0.098,"велосипед format 1415 27,5 2021 m зеленый","forward горный велосипед sporting 29 2.0 d рост 17"" 2022, 29, 2022"
fold_01,Автотовары,103079317696,85899462679,1,0.39,0.019,рычаг подвески прав ford focus i 08/98 - 11/04 ,lynx auto / пружины подвески задние ford focus i 98-
fold_01,Бытовая техника,103079324471,188978676813,0,0.96,0.934,babyliss / триммер babyliss 7255pe,триммер babyliss 7255pe
fold_01,Автотовары,103079362115,730144614359,1,0.31,0.012,michelin alpin 6 215/60 r17 100h зимняя,michelin alpin a6 шины зимние 195/65  r15 95t нешипованные
fold_01,Музыкальные инструменты,111669198623,377957184300,0,0.929,0.793,terris / уценка! tpb-43 bk бас-гитара,бас-гитара terris tpb-43 bk
fold_01,Красота и гигиена,111669220712,446676705016,0,0.945,0.906,"/ матирующий тональный крем ""спокойное сияние"", 30 мл","матирующий тональный крем ""спокойное сияние"", 30 мл"
fold_01,Продукты питания,111669233549,163208891400,0,0.956,0.796,кофе в зернах jardin colombia supremo 1кг 1шт,"кофе в зернах jardin ""colombia supremo"" (""колумбия супремо""), 1000 г, вакуумная упаковка, 0605-8, 1ед. в комплекте"
fold_01,Музыкальные инструменты,111669251698,532576018300,1,0.267,0.756,укулеле-сопрано tutti  jr-110 bl ,tutti / укулеле сопрано jr-10
fold_01,Продукты питания,111669267721,335007592896,0,0.95,0.804,"kurukahveci / молотый кофе kurukahveci mehmet efendi турецкий, 500г","кофе молотый турецкий kurucahveci mehmet efendi 100 % натуральная арабика для турки, кофемашины в банке 500 гр"
fold_01,Детские товары,111669270394,566935706095,0,0.968,0.971,"unicon. магнитный конструктор magical magnet, 45 деталей, матовый","магнитный конструктор magical magnet, 45 деталей, детали матовые unicon"
fold_01,Мебель,120259120175,558345876118,1,0.4,0.528,"тумба подвесная sanstar велья 50 с раковиной фостер 50 (комплект) для ванной комнаты, белая","подвесная тумба sanstar велья 50 с раковиной енисей 50 (комплект) для ванной комнаты, белая 387.1-1.4.1.кени"
fold_01,Обувь,120259132970,403727017988,1,0.246,0.683,кеды vans,vans / кеды
fold_01,Ювелирные изделия,120259145513,566935782041,1,0.174,0.432,"серьги из красного золота 585gold 602000616, фианит",585gold серьги ювелирные золото красное 585 пробы
fold_01,Автотовары,120259146299,249108148295,1,0.379,0.009,стойка амортизационная double force (fr) double force df334172,молдинг лобового стекла (сверху) honda cr-v 11-18 flexline арт. fl-3516bt
fold_01,Автотовары,120259182658,352187473210,0,0.957,0.99,автомобильные летние шины continental contiecocontact 6 215/60 r17 96h,continental contiecocontact 6 шины летние 215/60  r17 96h
fold_01,Хобби и творчество,120259184989,738734397681,0,0.933,0.834,"арт узор / атласная ""с днём защитника отечества"" (1шт)","лента атласная арт узор ""с днем защитника отечества"", 25 ммх18 +- 1 м"
fold_01,Продукты питания,120259201099,489626305918,1,0.21,0.589,"кофе в капсулах ambassador ""blue label"", для кофемашин nespresso, 10 шт. х 5 г","ambassador / кофе в капсулах ambassador blue label, 7 упаковок по 10 капс"
fold_01,Продукты питания,120259206444,68719602913,1,0.398,0.818,каша овсяная с бананом и семенами чиа компас здоровья шоу-бокс 30 гр х 10 шт,каша заварная овсяная с бананом и семенами чиа компас здоровья 30 г
fold_01,Музыкальные инструменты,120259207450,266288116600,1,0.357,0.6,"classical student 1c ez классическая гитара, со звукоснимателем, alhambra 6.801","798 1c ht 3/4 классическая гитара 3/4, alhambra"
fold_01,Одежда,120259216755,764504231505,1,0.307,0.343,win_hp fashion / свитер женский оверсайз длинный вязаный с принтом,свитер gareni
fold_01,Хобби и творчество,120259226672,369367314930,0,0.925,0.912,"disney пластилин мягкий «детский», 10 цветов, 150 г, тачки",пластилин 10цв 150г тачки
fold_01,Строительство и ремонт,120259230217,472446475172,0,0.959,0.915,"переключатель 1-клавишный quteo, открытый монтаж, слоновая кость 782234 legrand","legrand / переключатель 1-клавишный quteo, 782234 legrand"
fold_01,Аптека,128849054103,661424988382,1,0.355,0.278,acuvue oasys with transitions (6 линз) (-1.25/8.4),"acuvue / oasys multifocal 6pk / 8.4 / -1.25, mid"
fold_01,Спорт и отдых,128849075273,42949791489,1,0.248,0.557,"восстановление science in sport (sis) rego cherry juice 5 x 30 мл, вишня",science in sports (sis) / rego cherry juice для восстановления после тренировок 10 шт
fold_01,Одежда,128849081963,695784712922,1,0.247,0.642,freeshka / футболка светящаяся в темноте с принтом аниме hello kitty,футболка nuy nuy мультфильмы
fold_01,Бытовая техника,128849101274,120259151252,1,0.396,0.078,кофемолка kitfort кт-7123 200 вт цвет серебристый,"bq кофемолка cg1000 300 вт, объем 50 г"
fold_01,Канцелярские товары,128849106186,721554634980,0,0.946,0.954,"(5 шт.) - блокнот а5 (134х206 мм), 80 л., твёрдый, клетка, staff, ""pastel"", 114416 (арт. 114416)","staff блокнот а5 (134х206 мм), 80 л, твёрдый, клетка, staff, ""pastel"", 114416"
fold_01,Музыкальные инструменты,128849107035,283467846415,1,0.204,0.332,струны для электрогитары d'addario epn115,струны для электрогитары daddario ehr370
fold_01,Электроника,128849109045,738734470435,1,0.291,0.021,гидрогелевая пленка на vivo x 70 pro plus / виво x 70 про плюс / x 70 pro +,new armor / защитная гидрогелевая пленка на vivo x 90 pro plus
fold_01,Строительство и ремонт,128849110500,635655180806,0,0.924,0.752,"maytoni встраиваемый светильник gyps modern dl002-1-01-w, gu10, 50 вт",maytoni / светильник встраиваемый gyps dl002-1-01-w
fold_01,Хобби и творчество,128849134804,790274026656,0,0.932,0.99,"десятое королевство / настольная игра веселые ходилки, 4 в 1","десятое королевство настольная игра ""веселые ходилки"" 4 в 1, для девочек"
fold_01,Обувь,128849150218,171798853620,1,0.205,0.389,dlr / кроссовки женские и мужские,кроссовки nike
fold_01,Канцелярские товары,128849158387,824633751193,1,0.328,0.213,лунная кошка / блокнот недатированный гримуар,записная книжка bibablyke
fold_01,Автотовары,128849158975,566935783610,1,0.371,0.253,сайлентблок,jikiu сайлентблок
fold_01,Ювелирные изделия,137439005422,206158506754,1,0.253,0.522,"не определен серьга красное золото, 585 проба, длина 1 см",585gold серьги ювелирные золото красное 585 пробы
fold_01,Мебель,137439014412,60129583371,1,0.262,0.688,"комод, 8 ящ., 180х70x90 см",не определен комод франц 8 ящ. графит
fold_01,Ювелирные изделия,137439022828,412316996345,1,0.292,0.42,"кольцо из розового золота 585 пробы с фианитами для женщин (арт. к13216087) (17,5)","the jeweller кольцо the jeweller, красное золото, 585 проба, фианит, размер 16.5"
fold_01,Канцелярские товары,137439029626,17112,1,0.383,0.332,"клейкая лента torso, прозрачная, двусторонняя, акриловая, 40 мм x 2 м","torso / клейкая torso, прозрачная, двусторонняя, акриловая, 2"
fold_01,Продукты питания,137439080187,678604883248,1,0.359,0.725,закуска семилукская трапеза тещин язык 460г,"семилукская трапеза / закуска овощная ""тёщин язык"", острый, 460 г"
fold_01,Товары для животных,137439082801,438086735867,0,0.937,0.912,hill's / диетический для собак при расстройствах пищеварения 1.5кг,"сухой диетический корм для собак hill's prescription diet gastrointestinal biome при расстройствах пищеварения и для заботы о микробиоме кишечника, c курицей (1,5 кг)"
fold_01,Музыкальные инструменты,137439085550,369367251561,0,0.976,0.998,тюнер на прищепке musedo t-2046bd,тюнер musedo t-2046bd
fold_01,Строительство и ремонт,137439085801,292057812671,1,0.159,0.715,лампа накаливания дс 230-60вт e27 8109012 ( упак.15шт.),"favor лампочка лампа накаливания дс 230-60вт e27, 5 шт."
fold_01,Красота и гигиена,146028897288,85899494514,0,0.929,0.882,"londa professional impressive volume shampoo - лонда шампунь для объема волос, 1000мл",londa professional / шампунь для объема impressive volume 1000 мл
fold_01,Обувь,146028917405,300647724000,1,0.282,0.245,кроссовки puma,"puma кроссовки puma, размер 40,5, белый"
fold_01,Мебель,146029002732,429496877730,1,0.367,0.513,"стеллаж для ванной унитаз, 40х30х150 см","noname стеллаж над унитазом, 48x156x26 см, цвет белый./в упаковке шт: 1"
fold_01,Товары для животных,146029019579,412316956501,0,0.965,0.948,деревенские лакомства 79213270 холистик премьер сухой корм для собак мини-пород индейка с рисом 7кг,"деревенские лакомства / сухой корм для собак мелких пород индейка с рисом, 7кг"
fold_01,Канцелярские товары,146029019958,781684182453,1,0.39,0.589,"школьный пенал мягкий, 19 7 см, синий цвет","milo toys пенал школьный мягкий, 19 × 7 см, сиреневый цвет"
fold_01,Товары для животных,154618838555,833223787340,0,0.953,0.954,n1 №1 грейфер веревка для собак плетеная с мячом 33см,№1 грейфер веревка плетеная с мячом. 33см
fold_01,Продукты питания,154618842921,532576073521,1,0.335,0.417,чай фруктовый таёжный сбор зелёный,natural sorts / чай фруктовый таёжный сбор
